"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\pages\About\index.tsx", "TypeScript JSX", 119, 0, 3, 122
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\pages\Analytics\index.tsx", "TypeScript JSX", 72, 0, 4, 76
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\pages\Budgets\index.tsx", "TypeScript JSX", 188, 0, 11, 199
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\pages\Contacts\index.tsx", "TypeScript JSX", 82, 0, 2, 84
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\pages\Dashboard\index.tsx", "TypeScript JSX", 551, 5, 18, 574
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\pages\Landingpage\index.tsx", "TypeScript JSX", 488, 12, 18, 518
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\pages\LinkedAccounts\index.tsx", "TypeScript JSX", 101, 1, 4, 106
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\pages\Notifications\index.tsx", "TypeScript JSX", 91, 0, 4, 95
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\pages\Profile\index.tsx", "TypeScript JSX", 370, 5, 17, 392
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\pages\Settings\index.tsx", "TypeScript JSX", 88, 0, 4, 92
"c:\Users\melio\OneDrive\Documents\Website Projects\Quanta\client\src\pages\Transactions\index.tsx", "TypeScript JSX", 519, 1, 16, 536
"Total", "-", 2669, 24, 101, 2794
